MODEL.01
ZFZ 1D MODEL
ISOTROPIC
KGS
FLAT EARTH
1-D
CONSTANT VELOCITY
LINE08
LINE09
LINE10
LINE11
H(KM) VP(KM/S) VS(KM/S) RHO(GM/CC) QP QS ETAP ETAS FREFP FREFS
1.20000 1.50000 0.00000 1.00000 0.0 0.0 0.0 0.0 1.0 1.0  
0.50000 3.28751 1.90029 1.82200 0.0 0.0 0.0 0.0 1.0 1.0
0.50000 3.34983 1.93632 1.84195 0.0 0.0 0.0 0.0 1.0 1.0
0.50000 3.48043 2.01181 1.88374 0.0 0.0 0.0 0.0 1.0 1.0
0.50000 4.27657 2.47201 2.13850 0.0 0.0 0.0 0.0 1.0 1.0
0.50000 4.75286 2.74732 2.29092 0.0 0.0 0.0 0.0 1.0 1.0
0.50000 4.82297 2.78784 2.31335 0.0 0.0 0.0 0.0 1.0 1.0
0.50000 4.87775 2.81951 2.33088 0.0 0.0 0.0 0.0 1.0 1.0
0.50000 4.92103 2.84453 2.34473 0.0 0.0 0.0 0.0 1.0 1.0
0.50000 5.00272 2.89175 2.37087 0.0 0.0 0.0 0.0 1.0 1.0
0.50000 5.15342 2.97886 2.41910 0.0 0.0 0.0 0.0 1.0 1.0
0.50000 5.34933 3.09210 2.48179 0.0 0.0 0.0 0.0 1.0 1.0
0.50000 5.62972 3.25417 2.57151 0.0 0.0 0.0 0.0 1.0 1.0
0.50000 6.03959 3.49109 2.70267 0.0 0.0 0.0 0.0 1.0 1.0
0.50000 6.47474 3.74262 2.84192 0.0 0.0 0.0 0.0 1.0 1.0
0.50000 6.68251 3.86272 2.90840 0.0 0.0 0.0 0.0 1.0 1.0
0.50000 6.79675 3.92876 2.94496 0.0 0.0 0.0 0.0 1.0 1.0
0.50000 6.90778 3.99294 2.98049 0.0 0.0 0.0 0.0 1.0 1.0
0.50000 7.01974 4.05765 3.01632 0.0 0.0 0.0 0.0 1.0 1.0
0.50000 7.13721 4.12555 3.05391 0.0 0.0 0.0 0.0 1.0 1.0
0.50000 7.23683 4.18314 3.08579 0.0 0.0 0.0 0.0 1.0 1.0
0.50000 7.26600 4.20000 3.09512 0.0 0.0 0.0 0.0 1.0 1.0
0.50000 7.26600 4.20000 3.09512 0.0 0.0 0.0 0.0 1.0 1.0
0.50000 7.26600 4.20000 3.09512 0.0 0.0 0.0 0.0 1.0 1.0
0.50000 7.26600 4.20000 3.09512 0.0 0.0 0.0 0.0 1.0 1.0
0.50000 7.26600 4.20000 3.09512 0.0 0.0 0.0 0.0 1.0 1.0
0.50000 7.26600 4.20000 3.09512 0.0 0.0 0.0 0.0 1.0 1.0
0.50000 7.26600 4.20000 3.09512 0.0 0.0 0.0 0.0 1.0 1.0
0.50000 7.26600 4.20000 3.09512 0.0 0.0 0.0 0.0 1.0 1.0
0.50000 7.26600 4.20000 3.09512 0.0 0.0 0.0 0.0 1.0 1.0
0.50000 7.26600 4.20000 3.09512 0.0 0.0 0.0 0.0 1.0 1.0
0.50000 7.26600 4.20000 3.09512 0.0 0.0 0.0 0.0 1.0 1.0
0.50000 7.26600 4.20000 3.09512 0.0 0.0 0.0 0.0 1.0 1.0
0.50000 7.26600 4.20000 3.09512 0.0 0.0 0.0 0.0 1.0 1.0
0.50000 7.26600 4.20000 3.09512 0.0 0.0 0.0 0.0 1.0 1.0
0.50000 7.26600 4.20000 3.09512 0.0 0.0 0.0 0.0 1.0 1.0
0.50000 7.26600 4.20000 3.09512 0.0 0.0 0.0 0.0 1.0 1.0
0.50000 7.26600 4.20000 3.09512 0.0 0.0 0.0 0.0 1.0 1.0
0.50000 7.26600 4.20000 3.09512 0.0 0.0 0.0 0.0 1.0 1.0
0.50000 7.26600 4.20000 3.09512 0.0 0.0 0.0 0.0 1.0 1.0
0.50000 7.26600 4.20000 3.09512 0.0 0.0 0.0 0.0 1.0 1.0
0.50000 7.26600 4.20000 3.09512 0.0 0.0 0.0 0.0 1.0 1.0
0.50000 7.26600 4.20000 3.09512 0.0 0.0 0.0 0.0 1.0 1.0
0.50000 7.26600 4.20000 3.09512 0.0 0.0 0.0 0.0 1.0 1.0
0.50000 7.26600 4.20000 3.09512 0.0 0.0 0.0 0.0 1.0 1.0
0.50000 7.26600 4.20000 3.09512 0.0 0.0 0.0 0.0 1.0 1.0
0.50000 7.26600 4.20000 3.09512 0.0 0.0 0.0 0.0 1.0 1.0
0.50000 7.26600 4.20000 3.09512 0.0 0.0 0.0 0.0 1.0 1.0
0.50000 7.26600 4.20000 3.09512 0.0 0.0 0.0 0.0 1.0 1.0
0.50000 7.26600 4.20000 3.09512 0.0 0.0 0.0 0.0 1.0 1.0
0.50000 7.26600 4.20000 3.09512 0.0 0.0 0.0 0.0 1.0 1.0
0.50000 7.26600 4.20000 3.09512 0.0 0.0 0.0 0.0 1.0 1.0
0.50000 7.26600 4.20000 3.09512 0.0 0.0 0.0 0.0 1.0 1.0
0.50000 7.26600 4.20000 3.09512 0.0 0.0 0.0 0.0 1.0 1.0
0.50000 7.26600 4.20000 3.09512 0.0 0.0 0.0 0.0 1.0 1.0
0.50000 7.26600 4.20000 3.09512 0.0 0.0 0.0 0.0 1.0 1.0
0.50000 7.26600 4.20000 3.09512 0.0 0.0 0.0 0.0 1.0 1.0
0.50000 7.26600 4.20000 3.09512 0.0 0.0 0.0 0.0 1.0 1.0
0.50000 7.26600 4.20000 3.09512 0.0 0.0 0.0 0.0 1.0 1.0
44.75000 7.26600 4.20000 3.0951 0.0 0.0 0.0 0.0 1.0 1.0
